Length,Weight,Species
25.4,242,B-Type
26.3,290,B-Type
26.5,340,B-Type
29,363,B-Type
29,430,B-Type
29.7,450,B-Type
29.7,500,B-Type
30,390,B-Type
30,450,B-Type
30.7,500,B-Type
31,475,B-Type
31,500,B-Type
31.5,500,B-Type
32,340,B-Type
32,600,B-Type
32,600,B-Type
33,700,B-Type
33,700,B-Type
33.5,610,B-Type
33.5,650,B-Type
34,575,B-Type
34,685,B-Type
34.5,620,B-Type
35,680,B-Type
35,700,B-Type
35,725,B-Type
35,720,B-Type
36,714,B-Type
36,850,B-Type
37,1000,B-Type
38.5,920,B-Type
38.5,955,B-Type
39.5,925,B-Type
41,975,B-Type
41,950,B-Type
9.8,6.7,S-Type
10.5,7.5,S-Type
10.6,7,S-Type
11,9.7,S-Type
11.2,9.8,S-Type
11.3,8.7,S-Type
11.8,10,S-Type
11.8,9.9,S-Type
12,9.8,S-Type
12.2,12.2,S-Type
12.4,13.4,S-Type
13,12.2,S-Type
14.3,19.7,S-Type
15,19.9,S-Type
