전시명,장소,일정
A3 BUSINESS FORUM 2023,미국 올랜도 (Hilton Orlando Bonnet Creek),2023년 01월 16일(월) - 18일(수)
"CONGRÈS ATEC ITS FRANCE, LES RENCONTRES DE LA MOBILITÉ INTELLIGENTE 2023",프랑스 몽루주 (Le Beffroi de Montrouge),2023년 01월 17일(화) - 19일(목)
일본 도쿄 로봇 개발 어플리케이션 박람회 2023,일본 도쿄 (Tokyo Big Sight),2023년 01월 25일(수) - 27일(금)
일본 도쿄 스마트 공장 전시회 2023,일본 도쿄 (Tokyo Big Sight),2023년 01월 25일(수) - 27일(금)
일본 오사카  IT 위크 박람회 2023,일본 오사카 (INTEX OSAKA (International Exhibition Center)),2023년 01월 25일(수) - 27일(금)
ESC BOSTON 2023,미국 보스턴 (Boston Convention & Exhibition Center),2023년 01월 31일(화) - 02월 02일(목)
ICT4INDUSTRY 2023,슬로베니아 류블랴나 (Ljubljanski sejem - Ljubljana Exhibition and Convention Centre),2023년 03월 07일(화) - 09일(목)
인도 뉴델리 디지털 컨버전스 정보 통신 박람회 2023,인도 뉴델리 (Pragati Maidan),2023년 03월 27일(월) - 29일(수)
중국 베이징 IT 박람회 2023,중국 베이징 (CNCC (China National Convention Center)),2023년 03월 28일(화) - 30일(목)
WIRTOPROCESY 2023,폴란드 키엘체 ( Centre d’expositions de Kielce(Targi Kielce)),2023년 03월 28일(화) - 31일(금)
일본 도쿄 IT 위크 박람회 2023 (춘계),일본 도쿄 (Tokyo Big Sight),2023년 04월 05일(수) - 07일(금)
프랑스 라발 VR 박람회 2023,프랑스 라발 (LAVAL),2023년 04월 12일(수) - 16일(일)
케냐 ICT 박람회 2023,케냐 나이로비 (Sarit Expo Centre),2023년 04월 26일(수) - 27일(목)
영국 XR 박람회 2023,알바니아 티라나 (Rogner Hotel Tirana),2023년 4월 예정
중국 우한 애니메이션 게임 박람회 2023,중국 우한 (WIEC (Wuhan International Expo Center)),2023년 4월 예정
일본 도쿄 인공지능 박람회 (춘계) 2023,일본 도쿄 (Tokyo Big Sight),2023년 05월 10일(수) - 12일(금)
미국 산타클라라 엣지 컴퓨팅 박람회 2023,미국 산타클라라 (Santa Clara Convention Center),2023년 05월 17일(수) - 18일(목)
DIGITAL TRANSFORMATION EXPO MANCHESTER 2023,영국 잉글랜드 (Manchester Central Center),2023년 05월 17일(수) - 18일(목)
스페인 R&D  프로세스 및 제품 박람회 2023,스페인 바르셀로나 (Barcelona International Convention Centre (CCIB)),2023년 5월 예정
일본 IT 위크 온라인 박람회 2023 (온라인),일본 온라인 (Online),2023년 06월 07일(수) - 09일(금)
