전시명,장소,일정
2023 서울모빌리티쇼 자동차 이동체 소재부품장비 및 용품서비스전,킨텍스 (KINTEX) 제 1전시장 1층 Hall1~5,2023-04-03 ~ 2023-04-06
2023 국제인공지능대전,코엑스 (COEX) Hall D,2023-05-10 ~ 2023-05-12
제31회 국제 방송·미디어·음향·조명 전시회(KOBA),"코엑스 (COEX) A,C,D홀 및 컨퍼런스센터",2023-05-16 ~ 2023-05-19
2023 자율생산 월드 콩그레스,코엑스 (COEX) 그랜드볼룸(1F),2023-06-20 ~ 2023-06-21
AI TECH+ 2023,김대중컨벤션센터 (KDJ Center) ,2023-08-30 ~ 2023-09-01
2023 스마트 워크 엑스포 코리아,aT센터 (aT Center) 3층 제2전시장,2023-09-06 ~ 2023-09-08
"대한민국 소프트웨어 대전, 소프트웨이브 2023",코엑스 (COEX) A홀 전관,2023-11-29 ~ 2023-12-01
ICT CYBER WORLD 2020(ICT 온라인 가상 전시회),온라인 ,2020-11-04 ~ 2020-12-31
제13회 국제환경장비 및 자원순환산업전,킨텍스 (KINTEX) 제2전시장 7홀,2020-11-26 ~ 2020-11-28
2021 국제인공지능대전,코엑스 (COEX) Hall B,2021-03-24 ~ 2021-03-26
