전시명,장소,일정
2023서울모빌리티쇼 (구_서울모터쇼),킨텍스 (KINTEX) 제1전시장,2023-03-30 ~ 2023-04-09
제1회 국제콜드체인산업전,킨텍스 (KINTEX) 제1전시장,2023-04-18 ~ 2023-04-21
2023 월드IT쇼,코엑스 (COEX) ,2023-04-19 ~ 2023-04-21
제31회 국제 방송·미디어·음향·조명 전시회(KOBA),"코엑스 (COEX) A,C,D홀 및 컨퍼런스센터",2023-05-16 ~ 2023-05-19
2023 자율생산 월드 콩그레스,코엑스 (COEX) 그랜드볼룸(1F),2023-06-20 ~ 2023-06-21
2022 그린 & 애그리테크 아시아(스마트농업기술전시회),"김대중컨벤션센터 (KDJ Center) 전시장, 다목적홀",2023-08-24 ~ 2023-08-26
AI TECH+ 2023,김대중컨벤션센터 (KDJ Center) ,2023-08-30 ~ 2023-09-01
2023 스마트 워크 엑스포 코리아,aT센터 (aT Center) 3층 제2전시장,2023-09-06 ~ 2023-09-08
2023 스마트 컨택센터 엑스포 코리아,aT센터 (aT Center) 3층 제2전시장,2023-09-06 ~ 2023-09-08
2023 한국전기산업대전 한국발전산업전,코엑스 (COEX) A 홀,2023-10-18 ~ 2023-10-20
2022 그린 & 애그리테크 아시아(스마트농업기술전시회),"김대중컨벤션센터 (KDJ Center) 전시장, 다목적홀",2023-08-24 ~ 2023-08-26
AI TECH+ 2023,김대중컨벤션센터 (KDJ Center) ,2023-08-30 ~ 2023-09-01
2023 스마트 워크 엑스포 코리아,aT센터 (aT Center) 3층 제2전시장,2023-09-06 ~ 2023-09-08
2023 스마트 컨택센터 엑스포 코리아,aT센터 (aT Center) 3층 제2전시장,2023-09-06 ~ 2023-09-08
2023 한국전기산업대전 한국발전산업전,코엑스 (COEX) A 홀,2023-10-18 ~ 2023-10-20
"대한민국 소프트웨어 대전, 소프트웨이브 2023",코엑스 (COEX) A홀 전관,2023-11-29 ~ 2023-12-01
ICT CYBER WORLD 2020(ICT 온라인 가상 전시회),온라인 ,2020-11-04 ~ 2020-12-31
제13회 국제환경장비 및 자원순환산업전,킨텍스 (KINTEX) 제2전시장 7홀,2020-11-26 ~ 2020-11-28
2020 세대융합 신중년 창업서포터즈 최종사업성과 전시회,온라인 오픈부스 온라인 전시장,2020-12-02 ~ 2020-12-08
2021 대한민국 비대면산업 박람회,코엑스 (COEX) B홀,2021-05-06 ~ 2021-05-08
